area,area_title,occCode,occTitle,jobs_1000,h_mean, a_mean , a_pct25 , a_median , a_pct75 , a_pct90 ,Rent50_3,Rent50_4,county,county_town_name,pop2010,state_alpha,ratio
25860,"Hickory-Lenoir-Morganton, NC",15-1131,Computer Programmers,0.496,39.45,82050,73540,84580,93290,99280,836,1040,35,Catawba County,154358,NC,0.1186096004
40220,"Roanoke, VA",15-1131,Computer Programmers,1.676,41.29,85880,76280,89800,101820,116170,1005,1139,770,Roanoke city,97032,VA,0.134298441
26620,"Huntsville, AL",15-1131,Computer Programmers,7.299,43.72,90930,69550,86770,108150,134220,1015,1073,89,Madison County,334811,AL,0.140371096
43900,"Spartanburg, SC",15-1131,Computer Programmers,0.842,39.56,82280,63470,81600,104620,116920,964,1084,83,Spartanburg County,284307,SC,0.1417647059
26100,"Holland-Grand Haven, MI",15-1131,Computer Programmers,1.116,33.48,69630,52890,70160,86810,95680,836,1040,35,Catawba County,154358,NC,0.1429874572
40340,"Rochester, MN",15-1131,Computer Programmers,2.371,44.65,92870,62830,100270,114770,126190,1208,1598,109,Olmsted County,144248,MN,0.1445696619
17420,"Cleveland, TN",15-1131,Computer Programmers,0.985,34.91,72600,53160,71750,99040,115200,872,1123,11,Bradley County,98963,TN,0.1458397213
10740,"Albuquerque, NM",15-1131,Computer Programmers,3.148,47.67,99140,76740,99840,119700,143000,1229,1504,1,Bernalillo County,662564,NM,0.1477163462
10420,"Akron, OH",15-1131,Computer Programmers,2.005,37.83,78690,58510,82320,95830,113150,1039,1078,153,Summit County,541781,OH,0.1514577259
15940,"Canton-Massillon, OH",15-1131,Computer Programmers,0.954,34.43,71610,58460,72570,86890,97520,923,992,151,Stark County,375586,OH,0.1526250517
13380,"Bellingham, WA",15-1131,Computer Programmers,1.071,47.08,97930,76920,104760,120930,132690,1339,1496,73,Whatcom County,201140,WA,0.1533791523
29620,"Lansing-East Lansing, MI",15-1131,Computer Programmers,1.893,39.8,82780,58840,85140,108640,120680,1089,1320,65,Ingham County,280895,MI,0.1534883721
15980,"Cape Coral-Fort Myers, FL",15-1131,Computer Programmers,1.359,45.16,93940,65830,98950,115620,156060,1293,1331,71,Lee County,618754,FL,0.1568064679
31340,"Lynchburg, VA",15-1131,Computer Programmers,1.269,33.6,69880,47160,68590,88290,112630,897,1034,680,Lynchburg city,75568,VA,0.1569324974
20020,"Dothan, AL",15-1131,Computer Programmers,0.72,30.36,63140,50980,60490,80450,90630,792,979,69,Houston County,101547,AL,0.1571168788
23060,"Fort Wayne, IN",15-1131,Computer Programmers,1.82,32.59,67780,55690,68870,78930,93360,905,1025,3,Allen County,355329,IN,0.1576883984
31540,"Madison, WI",15-1131,Computer Programmers,**,37.01,76970,63810,76980,91310,106290,1017,1144,79,Madison County,19224,FL,0.1585346843
22900,"Fort Smith, AR-OK",15-1131,Computer Programmers,0.917,29.55,61460,47990,64210,72830,79740,850,958,131,Sebastian County,125744,AR,0.1588537611
19140,"Dalton, GA",15-1131,Computer Programmers,3.086,33.69,70080,59350,72070,83720,91470,955,1190,313,Whitfield County,102599,GA,0.1590120716
11340,"Anderson, SC",15-1131,Computer Programmers,0.915,33.16,68970,50500,70720,89850,97450,945,977,7,Anderson County,187126,SC,0.1603506787
11540,"Appleton, WI",15-1131,Computer Programmers,1.235,36.2,75290,55130,79380,93780,113770,1065,1128,87,Outagamie County,176695,WI,0.1609977324
